REPORTE GESTION DE LOCALIZACION DE BOLSINES IDA 05/12/2017 10:58

EVENTO: BOLSINES GENERADOS EN ACARA - Destino: REGISTRO AUTOMOTOR

desde 04/12/2017   hasta 04/12/2017

CODIGO DESTINO;TIPO DESTINO;DESCRIPCION DESTINO;USUARIO EVENTO;FECHA/HORA EVENTO;ID T&T;NRO.PRECINTO;FACTURA(INTERNO ACARA);PESO ACARA;PESO MAILROOM;ULTIMO ESTADO EN VEDIA;NRO.GUIA
1040;R;HENDERSON 01 A             (B);0KM;04/12/2017 14:59:53;PP030427778AR;1561577;C201700239105;0,335;0,265;EXPEDIDO;18979
1041;R;BENITO JUAREZ 01 A         (B);VERDES;04/12/2017 13:40:45;PP030421537AR;1595551;cca328393;0,120;0,115;EXPEDIDO;18973
1041;R;BENITO JUAREZ 01 A         (B);0KM;04/12/2017 15:02:02;PP030427999AR;1676245;C201700238091/40099/40100;0,740;0,665;EXPEDIDO;18979
1042;R;JUNIN 01 A                 (B);0KM;04/12/2017 07:21:33;PP030413031AR;512159;c201700245693;5,240;5,530;EXPEDIDO;18969
1042;R;JUNIN 01 A                 (B);VERDES;04/12/2017 13:26:31;PP030418855AR;986209;C201700245506;4,220;4,355;EXPEDIDO;18973
1042;R;JUNIN 01 A                 (B);0KM;04/12/2017 14:09:21;PP030423498AR;512081;C201700245863;11,675;11,615;EXPEDIDO;18976
1043;R;LA PLATA 01                (B);0KM;04/12/2017 15:00:03;PP030427795AR;1561576;C201700240236;0,330;0,260;EXPEDIDO;18979
1044;R;LA PLATA 02                (B);PACK;04/12/2017 11:48:09;PP030416673AR;174633;A201700020138;0,365;0,250;EXPEDIDO;18970
1044;R;LA PLATA 02                (B);0KM;04/12/2017 14:59:03;PP030427693AR;1561575;C201700237311/9261/40237;0,800;0,630;EXPEDIDO;18979
1045;R;LA PLATA 03                (B);0KM;04/12/2017 14:58:49;PP030427676AR;1561578;C201700238211/40238;0,565;0,585;EXPEDIDO;18979
1046;R;LA PLATA 04                (B);0KM;04/12/2017 15:03:12;PP030428075AR;1561563;C201700240239;0,335;0,255;EXPEDIDO;18979
1047;R;LANUS 01                   (B);0KM;04/12/2017 15:04:07;PP030428138AR;1561562;C201700237312/9262/9263;0,805;0,835;EXPEDIDO;18979
1049;R;LAS FLORES 01 A            (B);0KM;04/12/2017 15:03:48;PP030428115AR;1561561;C201700238092/8212;0,415;0,455;EXPEDIDO;18979
1050;R;LINCOLN 01 A               (B);0KM;04/12/2017 15:05:04;PP030428190AR;354513;C201700237313/7314/8213/9264/40240;1,840;1,825;EXPEDIDO;18979
1051;R;LOBERIA 01 A MAVI          (B);VERDES;04/12/2017 11:46:41;PP030416395AR;986630;C201700245507;0,815;0,855;EXPEDIDO;18973
1051;R;LOBERIA 01 A MAVI          (B);0KM;04/12/2017 15:06:40;PP030428291AR;1561558;C201700240101;0,220;0,160;EXPEDIDO;18979
1052;R;LOBOS 01 A                 (B);0KM;04/12/2017 15:04:24;PP030428155AR;1561560;C201700238214/8215/40241;0,885;0,815;EXPEDIDO;18979
1053;R;LOMAS DE ZAMORA 01         (B);0KM;04/12/2017 15:05:30;PP030428212AR;354552;C201700238216/9265/40242;1,595;1,510;EXPEDIDO;18979
1054;R;LOS TOLDOS 01 A MAVI       (B);0KM;04/12/2017 15:04:43;PP030428172AR;1561559;C201700237315;0,340;0,270;EXPEDIDO;18979
1055;R;LUJAN 01 A                 (B);0KM;04/12/2017 07:25:59;PP030413270AR;512117;c201700245694;5,175;5,195;EXPEDIDO;18969
1055;R;LUJAN 01 A                 (B);VERDES;04/12/2017 11:47:59;PP030416656AR;986619;c201700245508;1,415;1,415;EXPEDIDO;18973
1055;R;LUJAN 01 A                 (B);PACK;04/12/2017 11:53:10;PP030417152AR;512388;A201700020101;1,505;1,500;EXPEDIDO;18970
1055;R;LUJAN 01 A                 (B);0KM;04/12/2017 13:26:42;PP030418895AR;;C201700245791;8,485;8,485;EXPEDIDO;18972
1055;R;LUJAN 01 A                 (B);0KM;04/12/2017 13:26:51;PP030418918AR;;C201700245791;8,480;8,515;EXPEDIDO;18972
1055;R;LUJAN 01 A                 (B);0KM;04/12/2017 14:02:03;PP030422634AR;512019;C201700245864;3,055;3,035;EXPEDIDO;18976
1055;R;LUJAN 01 A                 (B);0KM;04/12/2017 15:05:46;PP030428230AR;354554;C201700238093/9106/41084;1,375;1,345;EXPEDIDO;18979
1057;R;MAIPU 01 A MAVI (B);0KM;04/12/2017 07:21:58;PP030413076AR;512192;c201700245695;1,435;1,485;EXPEDIDO;18969
1058;R;MAR DEL PLATA 01;0KM;04/12/2017 15:02:59;PP030428053AR;354563;C201700237316/8217/8218/40243/40244;1,680;1,610;EXPEDIDO;18979
1059;R;MAR DEL PLATA 02           (B);0KM;04/12/2017 07:59:31;PP030414730AR;512032;c201700245696;3,975;4,005;EXPEDIDO;18969
1059;R;MAR DEL PLATA 02           (B);0KM;04/12/2017 13:27:09;PP030418970AR;;C201700245792;8,520;8,515;EXPEDIDO;18972
1059;R;MAR DEL PLATA 02           (B);0KM;04/12/2017 13:27:20;PP030419017AR;;C201700245792;8,465;8,495;EXPEDIDO;18972
1059;R;MAR DEL PLATA 02           (B);VERDES;04/12/2017 13:27:31;PP030419034AR;986204;C201700245509;5,615;5,780;EXPEDIDO;18973
1059;R;MAR DEL PLATA 02           (B);VERDES;04/12/2017 14:36:52;PP030425193AR;1561548;C201700240245;0,715;0,715;EXPEDIDO;18978
1060;R;MEDANOS 01 A MAVI          (B);VERDES;04/12/2017 14:37:32;PP030425255AR;354417;C201700238219/9266/40246;1,265;1,275;EXPEDIDO;18978
1061;R;MERCEDES 01 A (BA)         (B);0KM;04/12/2017 13:28:07;PP030419096AR;;C201700245793;8,465;8,515;EXPEDIDO;18972
1061;R;MERCEDES 01 A (BA)         (B);VERDES;04/12/2017 14:39:12;PP030425454AR;1616300;C201700237317;0,485;0,505;EXPEDIDO;18978
1062;R;MERLO 01 A                ;VERDES;04/12/2017 14:36:39;PP030425176AR;354401;C201700238094/9107/40102/41085;3,175;3,075;EXPEDIDO;18978
1064;R;MORENO 01 A;VERDES;04/12/2017 11:48:50;PP030416775AR;986670;C201700245510;1,025;1,065;EXPEDIDO;18973
1064;R;MORENO 01 A;VERDES;04/12/2017 14:44:53;PP030426035AR;354496;C201700240247/0248;1,495;1,495;EXPEDIDO;18978
1065;R;MORON 02;VERDES;04/12/2017 14:37:12;PP030425233AR;1676240;C201700237318/7319/8220;1,045;1,060;EXPEDIDO;18978
1066;R;NECOCHEA 01 A              (B);VERDES;04/12/2017 11:47:34;PP030416599AR;986624;C201700245511;1,720;1,800;EXPEDIDO;18973
1066;R;NECOCHEA 01 A              (B);VERDES;04/12/2017 14:42:00;PP030425750AR;354445;C201700238095/9108/40103;3,725;3,735;EXPEDIDO;18978
1067;R;NUEVE DE JULIO 01 A MAVI   (B);0KM;04/12/2017 14:48:04;PP030426392AR;1560310;C201700239267;0,200;0,250;EXPEDIDO;18979
1068;R;OLAVARRIA 01;0KM;04/12/2017 14:49:15;PP030426534AR;1560309;C201700237320;0,325;0,285;EXPEDIDO;18979
1070;R;PEHUAJO 01;0KM;04/12/2017 14:49:22;PP030426579AR;1560308;C201700237321;0,325;0,245;EXPEDIDO;18979
1071;R;PELLEGRINI 01 A MAVI       (B);0KM;04/12/2017 14:50:32;PP030426755AR;1560307;C201700237322/9268/40249;0,795;0,745;EXPEDIDO;18979
1072;R;PERGAMINO 01;0KM;04/12/2017 14:50:51;PP030426790AR;1560306;C201700239109;0,845;0,255;EXPEDIDO;18979
1073;R;PIGUE 01 A;0KM;04/12/2017 14:51:13;PP030426830AR;1560305;C201700240250;0,095;0,115;EXPEDIDO;18979
1074;R;PILAR 01 A                 (B);0KM;04/12/2017 14:51:04;PP030426812AR;1561596;C201700238221/9269/40251;0,855;0,845;EXPEDIDO;18979
1075;R;PUAN 01 A MAVI             (B);0KM;04/12/2017 14:51:31;PP030426874AR;1560304;C201700240104/1086;0,785;0,705;EXPEDIDO;18979
1076;R;PUNTA ALTA 01 A MAVI       (B);0KM;04/12/2017 14:49:39;PP030426619AR;1560303;C201700238222/9270;0,475;0,395;EXPEDIDO;18979
1077;R;QUILMES 01;0KM;04/12/2017 14:49:49;PP030426636AR;1560302;C201700238223/9271;0,785;0,755;EXPEDIDO;18979
1078;R;LA MATANZA 01 B;0KM;04/12/2017 14:51:19;PP030426857AR;1560301;C201700240252;0,325;0,255;EXPEDIDO;18979
1080;R;ROJAS 01 A                 (B);VERDES;04/12/2017 11:42:31;PP030415752AR;986617;C201700245512;0,685;0,725;EXPEDIDO;18973
